Posição,País,CONFIRMADOS
1,"United States of America",1811469
2,"Brazil",526447
3,"Russian Federation",414328
4,"United Kingdom",257579
5,"Spain",239638
6,"Italy",233197
7,"India",198370
8,"France",185952
9,"Germany",183594
10,"Peru",170039
11,"Turkey",164769
12,"Iran, Islamic Republic of",154445
13,"Chile",129020
14,"Mexico",93435
15,"Saudi Arabia",87142
16,"Pakistan",76398
17,"Belgium",58517
18,"Qatar",58433
19,"Bangladesh",49534
20,"Netherlands",46545
21,"Belarus",43403
22,"Sweden",39309
23,"Ecuador",39098
24,"Singapore",35292
25,"United Arab Emirates",35192
26,"South Africa",34357
27,"Portugal",32700
28,"Switzerland",30871
29,"Colombia",30493
30,"Kuwait",27762
31,"Indonesia",26940
32,"Egypt",26384
33,"Ireland",25062
34,"Ukraine",24562
35,"Poland",24165
36,"Romania",19398
37,"Philippines",18638
38,"Dominican Republic",17572
39,"Argentina",17415
40,"Israel",17169
41,"Japan",16787
42,"Austria",16733
43,"Afghanistan",15750
44,"Panama",13837
45,"Oman",12223
46,"Bahrain",11871
47,"Denmark",11699
48,"Korea (South)",11541
49,"Serbia",11430
50,"Kazakhstan",11308
51,"Nigeria",10578
52,"Bolivia",10531
53,"Algeria",9513
54,"Armenia",9492
55,"Czech Republic",9302
56,"Norway",8446
57,"Moldova",8360
58,"Ghana",8070
59,"Malaysia",7857
60,"Morocco",7833
61,"Finland",6885
62,"Iraq",6868
63,"Cameroon",6397
64,"Azerbaijan",5662
65,"Honduras",5362
66,"Guatemala",5336
67,"Sudan",5173
68,"Luxembourg",4019
69,"Tajikistan",4013
70,"Hungary",3892
71,"Guinea",3844
72,"Senegal",3739
73,"Uzbekistan",3702
74,"Djibouti",3569
75,"Congo (Kinshasa)",3195
76,"Thailand",3082
77,"Côte d'Ivoire",2951
78,"Greece",2918
79,"Gabon",2655
80,"El Salvador",2582
81,"Bosnia and Herzegovina",2524
82,"Bulgaria",2519
83,"Macedonia, Republic of",2315
84,"Croatia",2246
85,"Haiti",2226
86,"Cuba",2083
87,"Somalia",2023
88,"Kenya",2021
89,"Estonia",1870
90,"Maldives",1829
91,"Kyrgyzstan",1817
92,"Nepal",1811
93,"Iceland",1806
94,"Lithuania",1678
95,"Venezuela (Bolivarian Republic)",1662
96,"Sri Lanka",1643
97,"Slovakia",1522
98,"New Zealand",1504
99,"Slovenia",1473
100,"Guinea-Bissau",1339
101,"Mali",1315
102,"Equatorial Guinea",1306
103,"Ethiopia",1257
104,"Lebanon",1233
105,"Albania",1143
106,"Zambia",1089
107,"Tunisia",1084
108,"Costa Rica",1084
109,"Republic of Kosovo",1083
110,"Central African Republic",1069
111,"Latvia",1066
112,"Paraguay",995
113,"South Sudan",994
114,"Niger",958
115,"Cyprus",949
116,"Sierra Leone",865
117,"Burkina Faso",847
118,"Madagascar",826
119,"Uruguay",825
120,"Georgia",794
121,"Chad",790
122,"Andorra",765
123,"Nicaragua",759
124,"Jordan",746
125,"San Marino",671
126,"Malta",619
127,"Congo (Brazzaville)",611
128,"Mauritania",588
129,"Jamaica",588
130,"Tanzania, United Republic of",509
131,"Sao Tome and Principe",484
132,"Cape Verde",458
133,"Uganda",457
134,"Palestinian Territory",449
135,"Togo",443
136,"Taiwan, Republic of China",443
137,"Rwanda",377
138,"Yemen",354
139,"Malawi",336
140,"Mauritius",335
141,"Viet Nam",328
142,"Montenegro",324
143,"Liberia",296
144,"Swaziland",293
145,"Mozambique",254
146,"Benin",243
147,"Myanmar",228
148,"Zimbabwe",203
149,"Mongolia",185
150,"Libya",168
151,"Guyana",153
152,"Brunei Darussalam",141
153,"Cambodia",125
154,"Syrian Arab Republic (Syria)",123
155,"Trinidad and Tobago",117
156,"Comoros",106
157,"Bahamas",102
158,"Monaco",99
159,"Barbados",92
160,"Angola",86
161,"Liechtenstein",82
162,"Burundi",63
163,"Suriname",44
164,"Bhutan",43
165,"Eritrea",39
166,"Botswana",38
167,"Saint Vincent and Grenadines",26
168,"Antigua and Barbuda",26
169,"Namibia",25
170,"Gambia",25
171,"Timor-Leste",24
172,"Grenada",23
173,"Lao PDR",19
174,"Saint Lucia",18
175,"Fiji",18
176,"Belize",18
177,"Dominica",16
178,"Saint Kitts and Nevis",15
179,"Holy See (Vatican City State)",12
180,"Seychelles",11
181,"Western Sahara",9
182,"Papua New Guinea",8
183,"Lesotho",2
184,"Solomon Islands",0
185,"Réunion",0
186,"Marshall Islands",0
187,"Macao, SAR China",0
188,"China",0
189,"Canada",0
